StudentID,Name,Electronics,Programming,Database,Data Science,Mathematics,DSA
523,Priya Verma,62,46,67,97,73,57
524,Carla Smith,79,79,100,55,31,91
525,Brenda Fowler,91,84,38,61,66,70
526,Amy Gibson,80,59,54,63,98,75
527,Aditya Sharma,91,48,50,48,39,57
528,Aditya Iyer,43,95,77,86,61,46
529,Chris Hamilton,96,83,43,70,68,94
530,Rahul Nair,53,31,90,57,39,36
531,Riya Mehta,36,38,47,52,97,38
532,Derek Wagner,72,94,88,48,33,56
533,Aarav Reddy,32,38,82,30,37,98
534,Scott Moss,91,93,34,45,59,96
535,Vivaan Patel,34,85,88,57,100,55
536,Siddharth Mehta,52,76,54,80,90,38
537,Rahul Reddy,47,71,56,34,84,46
538,Riya Mehta,97,74,60,32,48,91
539,Mathew Mathis,98,97,65,55,78,31
540,Dalton Porter,59,78,55,56,49,31
541,Jeremy Davis,97,83,71,43,64,46
542,Megan Valdez,86,43,31,30,38,85
543,Reginald Tucker,80,51,72,74,41,80
544,Ananya Patel,45,53,30,54,100,86
545,Marie Stone,50,68,32,91,67,50
546,Ananya Verma,39,60,72,47,96,39
547,Emily Hernandez,45,57,59,57,51,32
548,Siddharth Nair,36,88,67,36,48,50
549,John Santiago,86,49,98,92,57,41
550,Glenn Short,87,81,96,87,56,43
551,Casey Lewis,83,47,46,35,46,64
552,Rahul Singh,65,55,98,64,84,54
553,Siddharth Sharma,45,73,37,100,96,98
554,Aditya Singh,47,54,61,44,82,83
555,Aditya Mehta,82,87,72,50,44,53
556,Jeanette King,86,95,88,86,97,39
557,Kristy Molina,33,65,81,75,67,46
558,Ananya Singh,48,49,38,98,91,63
559,Cameron Cantrell,51,74,96,34,71,52
560,Kaitlyn Gamble,64,85,40,56,77,65
561,Priya Verma,42,88,71,51,53,63
562,Siddharth Reddy,70,59,96,71,88,79
563,Priya Nair,43,85,58,68,70,82
564,Karan Singh,43,30,66,51,74,30
565,Ishika Iyer,72,79,99,72,30,81
566,Cheryl Shields,87,79,62,53,77,47
567,Kathryn Phelps,80,64,70,75,53,39
568,Priya Verma,53,79,34,36,84,79
569,Ananya Iyer,58,39,44,72,68,63
570,Aditya Iyer,93,31,68,63,68,94
571,Aditya Reddy,49,85,36,96,45,64
572,Karan Iyer,98,97,39,85,33,79
573,Karan Verma,47,96,35,53,61,52
574,Craig Bowman,33,93,63,82,54,39
575,Steven Brown,83,66,78,48,76,57
576,Priya Nair,72,97,63,40,56,56
577,Jason Wilkerson,86,96,38,46,91,71
578,Denise Knox,32,48,58,84,74,97
579,Siddharth Choudhary,43,63,85,67,33,47
580,Vivaan Choudhary,42,93,76,88,75,81
581,Ananya Gupta,40,97,57,61,49,54
582,Ishika Sharma,30,42,98,98,89,71
583,Karan Mehta,88,82,33,97,71,61
584,Tami Ryan,71,66,67,36,94,65
585,Rahul Gupta,50,30,83,48,61,93
586,Kyle Mccann,69,49,48,44,52,84
587,Rahul Sharma,88,63,87,91,43,41
588,Taylor Hill,40,47,66,49,88,35
589,Susan Mills,53,48,63,76,56,33
590,Aditya Nair,50,44,85,83,84,45
591,Riya Verma,50,60,90,91,83,64
592,Ishika Nair,38,100,57,54,72,64
593,Mark Rosario,62,45,71,36,61,34
594,Seth Mendoza,45,44,72,54,49,84
595,Victoria Thomas,76,82,42,65,95,97
596,Ishika Choudhary,49,59,49,59,41,77
597,Megan Shelton,81,30,49,55,75,68
598,Daniel Cooper,62,72,68,60,90,97
599,Ishika Sharma,66,76,99,46,78,38
600,Mr. Christopher Adams,76,42,42,32,82,33
601,Erica Hayes,54,61,97,89,71,46
602,James Garrett,63,49,83,96,39,92
603,Ralph Foster,98,30,96,41,90,76
604,Vivaan Reddy,38,67,48,44,76,88
605,Riya Sharma,68,71,98,47,43,85
606,Tristan Stevens,93,75,64,40,45,64
607,Andrea Robertson,88,68,74,93,98,46
608,Riya Sharma,33,74,55,74,55,64
609,Riya Choudhary,87,78,40,99,46,44
610,Kathryn Maynard,73,36,67,80,77,66
611,Anthony Lopez,48,64,84,42,73,63
612,Jade Medina,66,94,36,63,75,45
613,Morgan Hayden,98,38,51,66,70,50
614,Ishika Singh,95,68,68,80,91,30
615,Siddharth Reddy,30,46,52,67,61,65
616,Aarav Choudhary,92,94,86,96,95,60
617,David Little,39,32,33,84,42,60
618,Alan Ballard,96,35,76,53,39,60
